G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 21:25:57.376823 - 2025-06-20 21:36:42.079475 | Duration: 0:10:44 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:05:20.534188 - 2025-06-20 22:33:54.679422 | Duration: 0:28:34 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:34:32.143807 - 2025-06-20 22:34:34.304868 | Duration: 0:00:02 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:34:44.305701 - 2025-06-20 22:34:49.489630 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:34:56.471198 - 2025-06-20 22:35:01.852993 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:35:05.589693 - 2025-06-20 22:35:10.974074 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:35:17.761315 - 2025-06-20 22:35:22.949941 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:35:26.895741 - 2025-06-20 22:35:50.510374 | Duration: 0:00:23 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:35:54.241946 - 2025-06-20 22:35:59.405476 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:36:09.441933 - 2025-06-20 22:36:14.660682 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:36:18.552487 - 2025-06-20 22:36:23.977950 | Duration: 0:00:05 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:36:27.685237 - 2025-06-20 22:36:44.931700 | Duration: 0:00:17 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:36:48.973048 - 2025-06-20 22:36:51.026991 | Duration: 0:00:02 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:36:55.066879 - 2025-06-20 22:36:58.068560 | Duration: 0:00:03 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:37:01.149865 - 2025-06-20 22:37:12.966199 | Duration: 0:00:11 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:37:16.382302 - 2025-06-20 22:37:46.004458 | Duration: 0:00:29 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:37:49.888723 - 2025-06-20 22:38:01.218427 | Duration: 0:00:11 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:38:05.127646 - 2025-06-20 22:38:25.930722 | Duration: 0:00:20 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:38:32.534198 - 2025-06-20 22:38:35.143532 | Duration: 0:00:02 | Date: 2025-06-20
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-20 22:38:41.678193 - 2025-06-20 22:38:47.145209 | Duration: 0:00:05 | Date: 2025-06-20
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-21 22:48:52.710015 - 2025-06-21 22:50:22.849408 | Duration: 0:01:30 | Date: 2025-06-21
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 22:51:47.661428 - 2025-06-23 22:53:03.156514 | Duration: 0:01:15 | Date: 2025-06-23
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-23 22:59:53.293061 - 2025-06-23 22:59:55.354708 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:07:37.695329 - 2025-06-23 23:07:40.219906 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:08:54.015995 - 2025-06-23 23:08:56.717691 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:09:48.962240 - 2025-06-23 23:09:51.187373 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:10:22.502234 - 2025-06-23 23:10:24.929461 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:12:49.012296 - 2025-06-23 23:12:51.824621 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:13:13.477116 - 2025-06-23 23:13:24.673481 | Duration: 0:00:11 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:19:28.299650 - 2025-06-23 23:19:30.423410 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:23:17.366177 - 2025-06-23 23:23:19.850257 | Duration: 0:00:02 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:23:26.542436 - 2025-06-23 23:28:25.107781 | Duration: 0:04:58 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:28:35.012104 - 2025-06-23 23:28:41.001647 | Duration: 0:00:05 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:28:47.188046 - 2025-06-23 23:28:55.843321 | Duration: 0:00:08 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:28:59.390921 - 2025-06-23 23:41:11.163252 | Duration: 0:12:11 | Date: 2025-06-23
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:41:48.761933 - 2025-06-23 23:41:51.019438 | Duration: 0:00:02 | Date: 2025-06-23
